NYSE Stock Exchange,,,,,,,,,,,
Thursday March 24 2016 5:31 PM,,,,,,,,,,,
,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,YTD % Chg
Seventy Seven Energy,SSE,0.59,0.62,0.5,0.6,,0.5,551433,6.3,0.25,-42.56
Shake Shack Cl A,SHAK,32.64,32.92,32.25,32.89,0.08,0.24,507494,96.75,30,-16.94
Shaw Communications Cl B NV,SJR,18.86,18.91,18.68,18.86,-0.22,-1.15,640924,23.5,15.66,9.71
Shell Midstream Partners,SHLX,32.7,33.85,32.46,33.6,0.3,0.9,979220,49.77,25.13,-19.08
Sherwin-Williams,SHW,281.66,283.19,279.85,281.35,-1.64,-0.58,618039,294.35,218.27,8.38
Shinhan Financial Group ADR,SHG,35.42,35.72,35.28,35.69,0.4,1.13,68538,42.88,29.08,6.25
Ship Finance International,SFL,12.88,13.54,12.73,13.52,0.58,4.48,929834,17.8,9.83,-18.41
Shopify Cl A,SHOP,27.5,27.78,26.12,26.99,0.79,3.02,682262,42.13,18.48,4.61
Shutterstock,SSTK,33.34,34.76,32.97,34.58,0.94,2.79,221427,74.3,25.44,6.93
Sibanye Gold ADR,SBGL,14.54,14.74,14.33,14.62,0.51,3.61,1475969,16,4.07,140.07
Signet Jewelers,SIG,124.76,125.45,120.04,121.42,3.41,2.89,3459846,152.27,93.45,-1.84
Silver Bay Realty Trust,SBY,14.1,14.49,14.04,14.48,0.35,2.48,219700,16.91,12.03,-7.54
Silver Spring Networks,SSNI,13.26,13.77,13.16,13.62,0.3,2.25,195886,16.18,8.68,-5.48
Silver Wheaton,SLW,17.21,17.55,17.03,17.23,0.1,0.58,4029776,21.12,10.04,38.73
Simon Property Group,SPG,200.37,201.73,199.78,201.44,-0.06,-0.03,694034,208.14,170.99,3.6
Simpson Manufacturing,SSD,36.38,36.56,36.11,36.56,0.12,0.33,97616,38.45,30.25,7.06
SINOPEC Shanghai Petrochemical ADR,SHI,47.06,47.32,46.84,47.32,-2.59,-5.19,8298,67.8,29.84,19.53
Six Flags Entertainment,SIX,53.43,53.84,53.09,53.82,0.28,0.52,442848,55.35,41.6,-2.04
SJW,SJW,35.6,35.92,35.11,35.77,0.31,0.87,130160,37.86,27.54,20.64
Skechers USA Cl A,SKX,30.15,30.3,29.58,30.22,-0.01,-0.03,2285729,54.53,23.01,0.03
SK Telecom ADR,SKM,20,20.15,19.97,20.14,0.07,0.35,640983,30.24,17.52,-0.05
SL Green Realty,SLG,93.7,94.38,92.51,94.27,-0.26,-0.28,949154,131.99,80.12,-16.56
Smart&Final Stores,SFS,15.66,15.75,15.51,15.68,-0.1,-0.63,84989,19.84,13.84,-13.89
SM Energy,SM,17.33,18.8,17.25,18.58,0.3,1.64,3393321,60.28,6.99,-5.49
Smith&Nephew ADR,SNN,32.18,32.36,32.1,32.32,0.06,0.19,281240,37.84,30.23,-9.21
Snap-On,SNA,155.02,158.1,154.28,157.84,2.03,1.3,412328,174.52,133.09,-7.93
Sociedad Quimica y Minera De Chile ADR,SQM,20.7,20.76,20.36,20.47,-0.48,-2.29,357938,22.74,12.65,7.68
Sonic Automotive Cl A,SAH,18.35,18.65,18.16,18.55,0.11,0.6,175687,25.77,15.68,-18.5
Sonoco Products,SON,47.77,48.24,47.3,47.91,-0.22,-0.46,690966,49.08,34.68,17.23
Sony ADR,SNE,25.17,25.49,25.02,25.47,-0.1,-0.39,855597,32.95,19.9,3.49
Sotheby's,BID,25.05,25.07,24.2,24.93,-0.24,-0.95,1474930,47.28,18.86,-3.22
SouFun Holdings ADR,SFUN,5.65,5.65,5.31,5.56,-0.13,-2.28,1696713,10.01,4.37,-24.76
Southcross Energy Partners,SXE,1.37,1.39,1.22,1.28,-0.05,-3.76,812865,16.2,0.38,-64.04
Southern,SO,50.67,50.98,50.58,50.9,0.23,0.45,3521625,51.01,41.4,8.78
Southern Copper,SCCO,27.15,28.05,26.82,27.97,0.51,1.86,1013991,33.31,21.55,7.08
South Jersey Industries,SJI,27.7,27.79,27.52,27.74,0.1,0.36,219365,28,21.24,17.94
Southwest Airlines,LUV,44.35,44.35,43.27,44.06,-0.37,-0.83,5295490,51.34,31.36,2.32
Southwestern Energy,SWN,7.12,7.56,7.02,7.38,0.03,0.41,9966578,29.61,5,3.8
Southwest Gas,SWX,64.68,65.81,64.62,65.58,0.76,1.17,155991,65.9,50.53,18.89
Sovran Self Storage,SSS,113.45,114.52,112.72,114.34,0.74,0.65,150789,116.87,85.69,6.55
Sparton,SPA,17.48,17.64,17.41,17.53,0.22,1.27,50813,29.49,11.19,-12.31
Spectra Energy,SE,30.09,30.55,29.87,30.44,0.04,0.13,4458461,38.47,21.43,27.15
Spectra Energy Partners,SEP,47.48,48.32,47.1,47.43,-0.44,-0.92,435017,55.95,36.21,-0.57
Spectrum Brands Holdings,SPB,106.32,107.02,105.16,106.93,0.2,0.19,258004,108.9,86.02,5.04
Speedway Motorsports,TRK,18.47,18.67,18.29,18.6,0.12,0.65,27689,25.66,17.39,-10.23
Spirit AeroSystems Holdings Cl A,SPR,47.21,47.73,46.66,47.33,-0.07,-0.15,1683563,57.99,40.03,-5.47
Spirit Realty Capital,SRC,11,11.11,10.92,11.08,0.05,0.45,2640572,12.44,8.89,10.58
Sprague Resources,SRLP,19.42,20.18,19,19.8,-0.01,-0.05,25302,28.9,15.55,-1.83
Sprint,S,3.16,3.27,3.14,3.26,0.11,3.49,11178559,5.39,2.18,-9.94
SPX,SPXC,13.43,14.13,13.34,14.09,0.4,2.92,316515,21.92,7.62,51.02
SPX FLOW,FLOW,25.02,25.97,24.46,25.96,0.74,2.93,241221,42.06,14.85,-6.99
Square Cl A,SQ,12.35,12.99,12.3,12.88,0.29,2.3,1763138,14.78,8.06,-1.6
Stage Stores,SSI,7.56,7.77,7.43,7.74,0.11,1.44,451071,23.26,6,-15.04
STAG Industrial,STAG,19.32,19.47,19.01,19.39,,,343442,24.09,14.97,5.09
Standard Motor Products,SMP,33.44,33.44,32.73,33.25,-0.24,-0.72,88450,45.72,29.69,-12.61
Standex International,SXI,75.26,76.27,74.7,76,0.52,0.69,48255,93.1,65.53,-8.6
Stanley Black&Decker,SWK,102.59,103.51,102.18,103.51,0.56,0.54,1157086,111.18,88.72,-3.02
Stantec,STN,23.44,23.65,23.24,23.63,-0.06,-0.25,4140,30.01,20.71,-4.68
Star Gas Partners,SGU,7.92,8.12,7.9,8.05,0.11,1.39,37892,9.98,6.64,8.2
Startek,SRT,4.16,4.34,4.16,4.3,,,3105,8.51,2.86,20.11
Starwood Hotels&Resorts Worldwide,HOT,81.86,82.85,81.57,82.13,-0.54,-0.65,4003619,87.99,56.87,18.55
Starwood Property Trust,STWD,18.99,18.99,18.63,18.89,-0.12,-0.63,2709938,24.7,16.69,-8.12
State Street,STT,58.74,59,58.04,58.75,-0.89,-1.49,2872694,81.26,50.73,-11.47
Statoil ADR,STO,14.8,15.16,14.69,15.16,0.14,0.93,2239333,21.72,10.88,8.6
Steelcase,SCS,15,15.05,14.42,14.68,-0.52,-3.42,971344,20.37,11.67,-1.48
Steel Partners Holdings,SPLP,15.09,15.13,14.75,14.8,-0.1,-0.67,1753,19.37,12.86,-9.65
Stepan,SCL,54.15,55.01,53.86,54.93,0.35,0.64,52666,56.5,39.97,10.55
Steris,STE,68.91,69.41,68.43,69.22,-0.2,-0.29,977915,78.77,60.75,-8.12
Sterling Bancorp,STL,15.58,15.69,15.34,15.54,-0.17,-1.08,545193,17.75,12.82,-4.19
Stewart Information Services,STC,32.97,33.68,32.7,33.66,0.63,1.91,137877,44.01,30.34,-9.83
Stifel Financial,SF,28.92,29.17,28.07,29.08,-0.17,-0.58,643139,59.93,25,-31.35
Stillwater Mining,SWC,9.84,10.48,9.73,10.46,0.54,5.44,1273976,15.07,4.99,22.05
St. Joe,JOE,15.4,15.64,15.25,15.54,0.08,0.52,280233,21.64,14.27,-16.05
St. Jude Medical,STJ,54.32,54.63,53.9,54.26,-0.51,-0.93,1342254,80.84,48.83,-12.16
STMicroelectronics,STM,5.39,5.51,5.39,5.49,-0.02,-0.36,291035,9.98,5.19,-17.57
Stone Energy,SGY,1.01,1.1,0.91,1.09,0.01,0.93,6661891,19.64,0.91,-74.59
Stonegate Mortgage,SGM,4.95,5.15,4.9,5.15,0.19,3.83,30974,11.6,3.61,-5.5
StoneMor Partners,STON,23.05,24.42,23.05,24.42,1.34,5.81,490091,32.06,22.04,-8.64
Stoneridge,SRI,14.23,14.68,14.14,14.59,0.32,2.24,71239,15.74,10.18,-1.42
STORE Capital,STOR,25.71,25.87,25.62,25.81,0.05,0.19,1151485,26.35,19.63,11.25
Stryker,SYK,105.67,105.9,104.33,105.22,-0.37,-0.35,1165980,105.94,86.68,13.21
Sturm Ruger,RGR,75.75,75.91,69.17,69.75,-6.53,-8.56,842142,78.09,47.38,17.01
Suburban Propane Partners,SPH,29.14,30.01,28.5,30.01,0.71,2.42,207079,44.75,20.93,23.45
Suffolk Bancorp,SCNB,24.7,24.78,24.5,24.76,-0.17,-0.68,9484,31.75,22.56,-12.66
Sumitomo Mitsui Financial Group ADR,SMFG,6.08,6.09,6.02,6.06,-0.19,-3.04,2069130,9.28,5.01,-20.16
Summit Hotel Properties,INN,11.13,11.38,11.04,11.34,0.11,0.98,341573,14.61,9,-5.1
Summit Materials Cl A,SUM,18.95,19.17,18.14,18.56,-0.55,-2.88,420684,28.57,13.12,-7.39
Summit Midstream Partners,SMLP,15.11,15.85,14.74,15.6,0.28,1.83,327717,36.82,11.06,-16.71
SunCoke Energy,SXC,5.63,6.14,5.5,6.09,0.31,5.36,571722,17.96,2.05,75.5
SunCoke Energy Partners,SXCP,7.1,7.19,6.75,7.13,0.01,0.14,219699,23.63,5.16,-4.3
Sun Communities,SUI,67.32,68.19,67.25,68.15,1.15,1.72,5547008,72.92,60.29,-0.55
Suncor Energy,SU,26.35,27.16,26.22,27.07,0.15,0.56,3733313,33.49,18.71,4.92
SunEdison,SUNE,1.28,1.29,1.15,1.21,-0.06,-4.72,38431956,33.45,1.15,-76.23
Sun Life Financial,SLF,31.17,31.37,30.9,31.37,-0.13,-0.41,257818,35.13,25.31,0.54
Sunoco,SUN,31.75,32.7,30.24,32.26,0.03,0.09,472374,54.82,22.86,-18.56
Sunoco Logistics Partners,SXL,23.95,24.28,23.14,23.9,-0.33,-1.36,1508019,44.9,15.43,-7
Sunstone Hotel Investors,SHO,13,13.01,12.74,12.97,-0.07,-0.54,1332747,17.16,9.53,3.84
SunTrust Banks,STI,36.17,36.69,35.76,36.6,-0.03,-0.08,3168939,45.84,31.07,-14.57
SunTrust Banks Cl A WT,STI/%A,7.15,7.15,7.15,7.15,-0.75,-9.49,100,12.76,5.76,-35.06
Superior Energy Services,SPN,12.39,12.88,12.25,12.82,-0.08,-0.62,4991232,26.95,8.25,-4.83
Superior Industries International,SUP,21.95,22.16,21.77,22.16,0.14,0.64,99746,23.43,16.35,20.3
Supervalu,SVU,5.5,5.51,5.36,5.49,-0.05,-0.9,1501035,12,3.94,-19.03
Swift Transportation,SWFT,17.91,18.29,17.55,18.27,0.11,0.61,1320721,27.3,11.74,32.2
Synchrony Financial,SYF,28.2,28.55,28.07,28.45,0.03,0.11,4143502,36.4,23.74,-6.45
Syngenta ADR,SYT,81.56,81.72,81.38,81.57,-0.46,-0.56,526857,98.15,61.61,3.61
SYNNEX,SNX,91.93,96.31,91.25,96.08,2.86,3.07,409799,102.83,70.14,6.84
Synovus Financial,SNV,28.98,29.03,28.65,29.03,-0.18,-0.62,736340,33.8,25.48,-10.35
Sysco,SYY,46.24,46.42,46.1,46.24,-0.11,-0.24,4326708,46.69,35.45,12.78
Systemax,SYX,8.96,9.1,8.74,8.93,0.01,0.11,11494,12.66,6.68,3.84
Tableau Software,DATA,42,43.11,41.33,42.9,0.71,1.68,1123369,131.34,36.6,-54.47
Tahoe Resources,TAHO,10.54,10.96,10.48,10.65,0.12,1.14,1269446,15.14,6.47,22.84
Tailored Brands,TLRD,16.16,16.68,16.12,16.66,0.5,3.09,467414,66.18,9.95,13.49
Taiwan Semiconductor Manufacturing ADR,TSM,25.52,25.75,25.44,25.73,0.05,0.19,5400669,26.25,17.32,13.1
TAL Education Group ADR,XRS,51.07,51.18,50.11,50.15,-1.19,-2.32,359833,53.75,26.48,7.92
Talen Energy,TLN,8.07,8.4,7.93,8.39,0.19,2.32,500240,27,5.73,34.67
TAL International Group,TAL,13.14,13.4,12.91,13.36,0.08,0.6,259552,42.93,8.15,-15.97
Tallgrass Energy GP Cl A,TEGP,16.86,17.38,16.46,17.3,0.18,1.05,90182,34.98,9.66,8.33
Tallgrass Energy Partners,TEP,35.82,36.21,34.89,35.96,-0.4,-1.1,122504,52.13,25.82,-12.74
Tanger Factory Outlet Centers,SKT,35,35.15,34.79,35.13,0.03,0.09,272669,36.26,29.45,7.43
Taomee Holdings ADR,TAOM,3.63,3.64,3.63,3.64,,,2048,4,2.15,1.11
Targa Resources,TRGP,27.6,28.43,26.5,28.07,0.01,0.04,2771694,108.63,14.55,3.73
Target,TGT,81.36,82.17,81.18,82.04,0.54,0.66,4295918,85.81,66.46,12.99
Taro Pharmaceutical Industries,TARO,138.87,142.03,138.8,141.75,1.54,1.1,109740,157.99,122.99,-8.28
Tata Motors ADR,TTM,27.26,27.59,26.97,27.59,0.07,0.25,916448,46.71,20,-6.38
Taubman Centers,TCO,69.38,69.38,68.76,69.23,-0.21,-0.3,246511,79.74,63.32,-9.76
Taylor Morrison Home,TMHC,13.45,13.51,13.19,13.38,-0.05,-0.37,485741,21.55,10.33,-16.38
TCF Financial,TCB,12.2,12.28,12.05,12.28,-0.04,-0.32,972001,17.29,10.37,-13.03
TCF Financial WT,TCB%,1.72,1.72,1.72,1.72,0.02,1.39,200,3.1,1.35,-18.1
TCP International Holdings,TCPI,1.06,1.18,1.06,1.18,0.09,8.26,18864,4.94,0.66,22.28
TC PipeLines,TCP,50.26,51.22,49.28,49.84,-1.38,-2.69,300365,71.35,34.25,0.26
Team,TISI,29.08,29.19,27.91,28.57,-0.76,-2.59,245611,47.55,21.61,-10.61
Team Health Holding,TMH,41.79,42.05,40.07,40.8,-1.38,-3.27,1657416,70.21,33.15,-7.04
Teck Resources Cl B,TCK,6.76,7.41,6.55,7.36,0.07,0.96,9049490,16.2,2.56,90.67
Teco Energy,TE,27.46,27.52,27.46,27.51,0.02,0.07,1860714,27.57,17.6,3.23
TE Connectivity,TEL,60.73,60.97,60.3,60.96,-0.06,-0.1,858640,72.09,51.7,-5.65
Teekay,TK,8.14,9.11,8.03,8.99,0.59,7.02,1497849,51.39,4.37,-8.92
Teekay LNG Partners,TGP,11.76,12.4,11.57,12.25,0.32,2.68,304788,40.73,7.92,-6.84
Teekay Offshore Partners,TOO,5.28,5.69,5.02,5.54,0.15,2.78,1199773,24.72,2.3,-14.51
Teekay Tankers,TNK,3.51,3.66,3.26,3.6,0.09,2.56,2402147,8.53,3.26,-47.67
TEGNA,TGNA,23.55,23.55,23.18,23.37,-0.42,-1.77,1374528,33.4,21.11,-8.42
Tejon Ranch,TRC,19.84,19.84,19.39,19.42,-0.56,-2.8,38693,28,16.85,1.41
Teladoc,TDOC,10.21,10.25,9.85,9.94,-0.4,-3.87,325659,35.42,9.85,-44.65
Telecom Argentina ADR,TEO,18.61,19.14,18.32,18.91,0.11,0.59,55378,23.66,13.36,17.67
Telecom Italia ADR,TI,10.79,10.89,10.68,10.74,-0.37,-3.33,419154,14.18,8.89,-15.1
Telecom Italia ADR,TIA,8.86,8.86,8.75,8.75,-0.4,-4.37,21437,11.67,7.17,-15.05
Teledyne Technologies,TDY,87.9,87.9,86.03,86.86,-1.52,-1.72,137366,111.81,73.66,-2.07
Teleflex,TFX,154.5,155.05,153.01,154.62,-0.12,-0.08,459737,155.05,118.35,17.63
Telefonica ADR,TEF,10.81,10.89,10.79,10.87,-0.08,-0.73,765899,15.54,9.47,-1.72
Telefonica Brasil ADR,VIV,11.84,11.98,11.72,11.97,0.03,0.25,2165709,16.99,7.71,32.56
Telekomunikasi Indonesia ADR,TLK,50.48,51.16,50.27,51.16,0.58,1.15,217800,53.83,34.09,15.23
Telephone&Data Systems,TDS,28.36,28.43,27.52,28.43,-0.14,-0.49,565864,30.76,20.83,9.81
TELUS,TU,31.19,31.47,30.95,31.44,-0.04,-0.13,192089,35.54,24.34,13.71
Tempur Sealy International,TPX,57.62,58.01,56.95,57.81,-0.07,-0.12,1065298,82.61,50.8,-17.95
Tenaris ADR,TS,23.18,24.03,23.16,23.98,0.22,0.93,2399350,32.77,18.53,0.76
Tenet Healthcare,THC,28.56,28.75,27.28,27.98,-1.03,-3.55,2260528,60.93,21.39,-7.66
Tennant,TNC,50.56,50.69,49.92,50.55,-0.12,-0.24,40677,70.12,45.92,-10.15
Tenneco,TEN,49.46,50.34,48.95,50.19,0.24,0.48,208648,61.73,34.45,9.32
Teradata,TDC,25.66,25.87,25.26,25.85,-0.04,-0.15,1159044,46,21.98,-2.16
Teradyne,TER,20.88,21.09,20.8,21.09,0.03,0.14,910625,21.58,16.06,2.03
Terex,TEX,25.12,25.25,24.53,25.05,1.31,5.52,3061868,29.32,13.62,35.55
TERNIUM ADR,TX,17.52,17.88,17.25,17.88,0.22,1.25,367213,21.8,10.28,43.85
Terra Nitrogen,TNH,104.88,105.6,104.3,105.17,-0.21,-0.2,32454,149.88,84.12,3.53
Terreno Realty,TRNO,22.52,22.52,22.29,22.44,-0.15,-0.66,110519,23.98,19.2,-0.8
Tesoro,TSO,90.05,93.5,89.84,92.49,1.87,2.06,2729720,119.67,67.8,-12.22
Tesoro Logistics,TLLP,42.56,43.96,42.33,43.34,0.12,0.28,477116,61.74,35.18,-13.87
Tetra Technologies,TTI,5.83,6.18,5.67,6.18,0.26,4.39,583118,9.44,4.62,-17.82
Teva Pharmaceutical Industries ADR,TEVA,53.82,54.77,53.75,54.29,0.24,0.44,3163504,72.31,52.62,-17.29
Texas Pacific Land Trust Sub Share Ctf,TPL,146.79,150,145.75,146.52,-2.48,-1.66,3342,164.47,96.54,11.92
Textainer Group Holdings,TGH,13.1,13.47,12.75,13.44,0.02,0.15,238530,32.18,7.13,-4.75
Textron,TXT,36.25,36.34,35.45,36.16,-0.43,-1.18,3497870,46.93,30.68,-13.93
Textura,TXTR,18.02,18.29,17.83,18.27,0.21,1.16,102993,31.23,13.13,-15.34
Thermo Fisher Scientific,TMO,138.15,139.22,137.4,139.02,0.2,0.14,991142,143.65,14,-2
Thermon Group Holdings,THR,17.24,17.58,17.14,17.49,0.12,0.69,67708,25.63,13.97,3.37
Third Point Reinsurance,TPRE,11.2,11.25,10.9,10.97,-0.3,-2.66,158154,15.45,10.08,-18.2
Thomson Reuters,TRI,39.1,39.46,39.07,39.42,-0.04,-0.1,660496,42.64,33.96,4.15
Thor Industries,THO,61.05,61.66,60.68,61.62,0.41,0.67,344725,64.65,47.56,9.74
Tidewater,TDW,5.98,6.41,5.79,6.37,0.12,1.92,1481731,31.8,4.24,-8.48
Tier Reit,TIER,13.38,13.42,13.22,13.41,-0.03,-0.22,128606,19.5,12.52,-9.08
Tiffany&,TIF,71.9,71.98,70.58,70.93,-1.05,-1.46,1739475,96.43,59.73,-7.03
Tilly's,TLYS,6.57,6.64,6.42,6.46,-0.19,-2.86,87366,16.8,5.72,-2.56
Time Inc.,TIME,15.14,15.24,15.01,15.2,-0.08,-0.52,938858,24.26,12.23,-3
Time Warner,TWX,70.09,70.46,69.6,70.01,-0.68,-0.96,4959679,91.34,55.53,8.26
Time Warner Cable,TWC,204.45,204.53,201.87,202.7,-1.75,-0.86,1493707,205.75,145.44,9.22
Timken,TKR,32.24,32.78,31.72,32.76,0.16,0.49,821678,43.06,22.22,14.59
TimkenSteel,TMST,8.1,9.22,8.03,9.04,0.73,8.78,545254,33.41,3.69,7.88
TIM Participacoes ADR,TSU,10.79,11.09,10.6,11.09,0.22,2.02,995160,17.83,7.08,30.78
Titan International,TWI,5.01,5.47,4.87,5.42,0.35,6.9,422549,12.5,2.5,37.56
TJX,TJX,77.23,77.71,77.08,77.12,-0.6,-0.77,2673444,78.46,63.53,8.76
Toll Brothers,TOL,28.59,28.68,28.16,28.53,,,1550221,42.19,23.75,-14.32
Tootsie Roll Industries,TR,33.59,33.97,33.31,33.64,-0.01,-0.03,42078,34.82,28.79,9.68
TopBuild,BLD,28.74,29.32,28.61,29.29,0.39,1.35,185844,36.36,22.75,-4.81
Torchmark,TMK,54.2,54.49,53.63,54.13,-0.57,-1.04,582223,63.26,48.47,-5.3
Toro,TTC,86.11,86.22,85.12,86.2,-0.14,-0.16,286079,87.21,64.71,17.97
Toronto-Dominion Bank,TD,41.57,41.79,41.31,41.77,-0.24,-0.57,1156770,46.78,33.48,6.64
Total ADR,TOT,44.31,45.38,44.24,45.28,-0.25,-0.55,2800030,54.79,39.05,0.73
Total System Services,TSS,46.02,46.14,45.32,45.98,-0.22,-0.48,980623,56.69,37.47,-7.67
Tower International,TOWR,26.29,26.6,25.31,26.6,0.18,0.68,210244,31.41,19.36,-6.9
Townsquare Media Cl A,TSQ,10.91,11.12,10.69,10.95,-0.04,-0.36,19131,14.34,8.6,-8.44
Toyota Motor ADR,TM,106.39,106.39,105.75,106.32,-1.78,-1.65,394497,143.66,102.54,-13.59
Transalta,TAC,4.31,4.36,4.27,4.33,-0.01,-0.23,110256,10.38,2.54,22.32
TransCanada,TRP,37.21,37.99,36.97,37.79,0.21,0.56,864022,48.1,28.4,15.96
TransDigm Group,TDG,219.71,220.38,215.87,219.68,-1.27,-0.57,352661,244.9,180.76,-3.84
Transmontaigne Partners,TLP,35.93,39.16,35.76,39.01,2.71,7.47,64310,43,20.26,45.78
Transocean,RIG,9.02,9.51,8.97,9.38,0.11,1.19,12247293,21.9,7.67,-24.23
Transocean Partners,RIGP,8.56,8.66,8.18,8.62,-0.02,-0.23,107349,16.16,5.89,-2.38
Transportadora de Gas del Sur ADR,TGS,5.87,5.92,5.75,5.79,-0.18,-3.02,30577,7.24,3.47,-4.93
TransUnion,TRU,26.48,26.69,26.37,26.54,-0.11,-0.41,942369,28.08,20.43,-3.74
TravelCenters of America,TA,6.64,6.9,6.5,6.87,0.15,2.23,399878,18.1,6.41,-26.91
Travelers Cos.,TRV,115.64,115.92,114.67,115.39,-0.5,-0.43,1475111,116.78,95.21,2.24
Travelport Worldwide,TVPT,13.14,13.25,12.95,13.22,-0.08,-0.6,801606,17.18,8.5,2.48
TRC Cos.,TRR,6.6,6.65,6.58,6.63,-0.01,-0.15,36940,12.3,5.96,-28.32
Trecora Resources,TREC,9.29,9.49,9.18,9.36,,,27020,16.5,8.75,-24.46
Tredegar,TG,14.74,15.46,14.66,15.42,0.54,3.63,57285,24.13,11.37,13.22
TreeHouse Foods,THS,83.71,84.12,83.04,84.03,-0.12,-0.14,288263,90.31,66.3,7.1
Tremor Video,TRMR,1.76,1.82,1.76,1.79,0.04,2.29,12974,3.27,1.29,-13.11
Trex,TREX,45.56,46.28,45.27,46.01,0.31,0.68,304633,57.72,31.11,20.95
Tribune Media Cl A,TRCO,35.85,36.37,35.35,36.19,-0.04,-0.11,629269,61.99,26.1,7.04
Tribune Publishing,TPUB,7.85,8.2,7.58,8.06,0.13,1.64,309313,20,5.45,-12.58
Trina Solar ADR,TSL,10.3,10.34,9.97,10.04,-0.29,-2.81,1260101,13.33,7.15,-8.89
TriNet Group,TNET,13.43,13.51,13.12,13.46,-0.09,-0.66,561383,37.6,11.1,-30.44
Trinity Industries,TRN,18.14,18.52,17.8,18.52,0.19,1.04,1546676,37.15,14.94,-22.9
Trinseo,TSE,34.86,35.66,33.89,35.14,0.02,0.06,981121,39.23,19.29,24.61
Triple-S Management Cl B,GTS,24.48,24.8,24.32,24.7,0.2,0.82,105820,27.23,17.34,3.3
TRI Pointe Group,TPH,11.26,11.34,11.12,11.31,0.03,0.27,1321167,16.15,8.83,-10.73
Triumph Group,TGI,31.65,32.09,30.81,32.02,0.01,0.03,512417,70.68,22.94,-19.45
Tronox Cl A,TROX,5.57,5.82,5.5,5.78,0.03,0.52,355745,22.61,2.79,47.83
TrueBlue,TBI,23.92,24.46,23.68,24.4,0.36,1.5,203517,31.5,20.03,-5.28
Trupanion,TRUP,9.27,9.46,9.26,9.36,0.01,0.11,24168,9.95,6.27,-4.1
Tsakos Energy Navigation,TNP,5.85,6.13,5.77,6.11,0.16,2.69,401917,10.5,4.79,-22.85
Tumi Holdings,TUMI,26.71,26.81,26.71,26.81,0.1,0.37,482026,27.84,15.01,61.21
Tupperware Brands,TUP,55.33,55.52,53.98,55.39,-0.43,-0.77,885894,70.79,42.6,-0.47
Turkcell Iletisim Hizmetleri ADR,TKC,10.11,10.38,10.07,10.37,-0.07,-0.67,530120,13.16,7.71,22.14
Turquoise Hill Resources,TRQ,2.49,2.65,2.45,2.62,0.09,3.56,3392361,4.74,1.55,3.15
Tutor Perini,TPC,14.76,15.32,14.7,15.2,0.15,1,187430,24.74,10.16,-9.2
Twitter,TWTR,15.94,15.99,15.56,15.91,-0.1,-0.62,14756526,53.49,13.91,-31.24
Two Harbors Investment,TWO,7.86,7.92,7.77,7.92,0.02,0.25,1529393,10.94,6.91,-2.22
Tyco International,TYC,35.62,36.03,35.39,36.01,0.29,0.81,2093974,43.71,28.94,12.92
Tyler Technologies,TYL,121.12,122.09,120.5,121.69,0.24,0.2,257615,184.01,116.62,-30.19
Tyson Foods Cl A,TSN,66.94,67.46,66.49,66.89,-0.55,-0.82,1841673,67.73,37.23,25.43
Tyson Foods Un,TSNU,74.9,74.9,74.3,74.35,-0.82,-1.09,8575,77.4,47.11,22.53
UBS Group,UBS,16.09,16.26,16.05,16.24,-0.11,-0.67,1661254,23.19,14.01,-16.16
UCP Cl A,UCP,8.06,8.24,7.41,7.88,-0.17,-2.11,17928,9.44,5.22,9.44
UDR,UDR,37.07,37.19,36.74,37.05,-0.14,-0.38,988914,38.34,30.03,-1.38
UGI,UGI,39.52,39.77,39.21,39.72,0.15,0.38,734198,40.16,31.5,17.65
Ultrapar Participacoes ADR,UGP,18.71,18.81,18.53,18.81,-0.07,-0.37,284207,24.53,12.93,23.34
Ultra Petroleum,UPL,0.48,0.57,0.47,0.54,0.03,5.94,6222639,18.04,0.18,-78.39
UMH Properties,UMH,9.68,9.95,9.65,9.87,0.17,1.75,72102,10.79,9,-2.47
Under Armour Cl A,UA,82.64,82.87,81.26,82.16,-0.72,-0.87,1671683,105.89,63.23,1.92
Unifi,UFI,22.88,23.09,22.45,22.74,-0.24,-1.04,67413,37.54,20.85,-19.22
UniFirst,UNF,110.08,111.45,108.02,111.34,1.6,1.46,109928,123.89,96.9,6.85
Unilever ADR,UN,44.07,44.19,43.88,44.19,-0.14,-0.32,1540688,46.53,37.92,2.01
Unilever ADR,UL,44.6,44.63,44.31,44.63,0.03,0.07,1192578,46.19,38.6,3.5
Union Pacific,UNP,80.78,81.27,80.04,80.92,-0.6,-0.74,4205009,112.44,67.06,3.48
Unisys,UIS,7.5,7.8,7.39,7.79,0.21,2.77,1000398,23.97,7.1,-29.5
Unit,UNT,8.76,9.56,8.68,9.32,0.05,0.54,1023077,36.23,3.9,-23.61
United Continental Holdings,UAL,58.76,58.96,57.2,57.84,-1.9,-3.18,6612533,68.75,42.17,0.94
UnitedHealth Group,UNH,128.97,130.32,127.17,128.59,-1.2,-0.92,4132895,130.35,95,9.31
United Microelectronics ADR,UMC,2.1,2.12,2.06,2.11,0.02,0.96,1486517,2.53,1.42,12.23
United Parcel Service Cl B,UPS,104.33,105.49,104.31,105.43,0.55,0.52,1990555,107.32,87.3,9.56
United Rentals,URI,61.03,62.54,60.06,61.99,0.39,0.63,1383399,105.83,41.9,-14.54
